Nome da UC,Esfera Administrativa,Sigla Orgão Gestor,Situação,Categorias de Manejo,Código CNUC
ÁREA DE PROTEÇÃO AMBIENTAL SERRA DOS COCAIS,Municipal,SGUPMA,Ativo,Área de Proteção Ambiental,1940.31.4070
PARQUE ESTADUAL MATA DA PIPA,Estadual,IDEMA,Ativo,Parque,0000.24.1473
PARQUE NATURAL MUNCIPAL PAULO VIRIATO CORREA DA COSTA,Municipal,SEMMA,Ativo,Parque,0305.51.3875
AREA DE PROTEÇÃO AMBIENTAL DE JENIPABU,Estadual,IDEMA,Ativo,Área de Proteção Ambiental,0000.24.1470
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO FAZENDA RAPOSA,Estadual,SEMA - CE,Ativo,Área de Relevante Interesse Ecológico,0000.23.4064
PARQUE NATURAL MUNICIPAL DONA ZIZA,Municipal,CODEMA/PAINS,Ativo,Parque,4650.31.2822
ÁREA DE PROTEÇÃO AMBIENTAL DA LAGOA DO IRIRY,Municipal,SEMAP,Ativo,Área de Proteção Ambiental,0452.33.2551
FLORESTA ESTADUAL SERRA DÁGUA,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Floresta,0000.35.2698
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL REFÚGIO ECOLÓGICO FAZENDA GATO DO MATO,Estadual,INEA,Ativo,Reserva Particular do Patrimônio Natural,0000.33.4060
ESTAÇÃO ECOLÓGICA DE ITAPEVA,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Estação Ecológica,0000.35.2666
PARQUE NATURAL MUNICIPAL DE REDENÇÃO,Municipal,FMMA,Ativo,Parque,0613.15.4050
FLORESTA ESTADUAL PEDERNEIRAS,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Floresta,0000.35.2618
FLORESTA ESTADUAL DO NOROESTE PAULISTA,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Floresta,0000.35.3740
PARQUE NATURAL MUNICIPAL DO CÓRREGO MIMOSO,Municipal,SMMA,Ativo,Parque,1305.52.4049
ESTAÇÃO ECOLÓGICA DE SANTA MARIA,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Estação Ecológica,0000.35.2697
ESTAÇÃO ECOLÓGICA DE PARANAPANEMA,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Estação Ecológica,0000.35.2669
ESTAÇÃO ECOLÓGICA DE AVARÉ,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Estação Ecológica,0000.35.2606
ESTAÇÃO ECOLÓGICA DE ANGATUBA,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Estação Ecológica,0000.35.2936
PARQUE NATURAL MUNICIPAL OLESIO DOS SANTOS,Municipal,PMSP,Ativo,Parque,4530.35.4048
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIACHO DA SERRA,Estadual,INEMA,Ativo,Reserva Particular do Patrimônio Natural,0000.29.4047
ÁREA DE PROTEÇÃO AMBIENTAL DE UPAON-AÇU / MIRITIBA / ALTO PREGUIÇAS,Estadual,SEMA,Ativo,Área de Proteção Ambiental,0000.21.1888
PARQUE NATURAL MUNICIPAL DE GOVERNADOR VALADARES/MG,Municipal,SEMA,Ativo,Parque,2770.31.2814
PARQUE ESTADUAL DO MORRO DO DIABO,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Parque,0000.35.0816
ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Estação Ecológica,0000.35.0862
PARQUE ESTADUAL DA SERRA DO MAR,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Parque,0000.35.0798
ESTAÇÃO ECOLÓGICA CURRAL DO MEIO,Estadual,IMA,Ativo,Estação Ecológica,0000.27.4043
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ORIENTE,Estadual,IMA,Ativo,Reserva Particular do Patrimônio Natural,0000.27.4042
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERENO,Estadual,IMA,Ativo,Reserva Particular do Patrimônio Natural,0000.27.4041
PARQUE NATURAL MUNICIPAL DO MORRO DOS VENTOS,Municipal,SEMMA,Ativo,Parque,0553.15.4040
ÁREA DE PROTEÇÃO AMBIENTAL DO BOQUEIRÃO DA MIRA,Municipal,PMSRJ,Ativo,Área de Proteção Ambiental,5930.31.3727
ÁREA DE PROTEÇÃO AMBIENTAL FOZ DO RIO SANTA TEREZA,Estadual,NATURATINS,Ativo,Área de Proteção Ambiental,0000.17.1500
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VILA D'ÁGUA,Estadual,IMA,Ativo,Reserva Particular do Patrimônio Natural,0000.27.1611
PARQUE NATURAL MUNICIPAL PARQUE FLORESTAL DE SINOP,Municipal,PS,Ativo,Parque,0790.51.3196
FLORESTA NACIONAL DE ASSUNGUI,Federal,ICMBio,Ativo,Floresta,0000.00.0077
PARQUE NATURAL MUNICIPAL JARDIM BOTÂNICO,Municipal,PS,Ativo,Parque,0790.51.3773
RESERVA PARTICULAR DO PATRIMONIO NATURAL FAZENDA RIO NEGRO,Estadual,IMASUL,Ativo,Reserva Particular do Patrimônio Natural,0000.50.4037
RESERVA PARTICULAR DO PATRIMONIO NATURAL ERNESTO VARGAS BATISTA,Estadual,IMASUL,Ativo,Reserva Particular do Patrimônio Natural,0000.50.4036
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ECOTERRA TICO TINGA,Estadual,INEMA,Ativo,Reserva Particular do Patrimônio Natural,0000.29.4035
RESERVA PARTICULAR DO PATRIMONIO NATURAL FAZENDA LAGOA,Estadual,IMASUL,Ativo,Reserva Particular do Patrimônio Natural,0000.50.4034
RESERVA PARTICULAR DO PATRIMONIO NATURAL CISALPINA,Estadual,IMASUL,Ativo,Reserva Particular do Patrimônio Natural,0000.50.4032
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTADUAL SALTO FORQUETA,Estadual,SEMA,Ativo,Reserva Particular do Patrimônio Natural,0000.43.4028
ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE PALMAS,Estadual,NATURATINS,Ativo,Área de Proteção Ambiental,0000.17.1497
ESTAÇÃO ECOLÓGICA CHAPADA DE NOVA ROMA,Estadual,SEMARH,Ativo,Estação Ecológica,0000.52.3991
ÁREA DE PROTEÇÃO AMBIENTAL DAS NASCENTES DE ARAGUAINA,Estadual,NATURATINS,Ativo,Área de Proteção Ambiental,0000.17.1491
AREA DE PROTEÇÃO AMBIENTAL BARREIRO RICO,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Área de Proteção Ambiental,0000.35.3885
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA RIBEIRÃO,Estadual,INEA,Ativo,Reserva Particular do Patrimônio Natural,0000.33.4027
PARQUE ESTADUAL DAS CARNAÚBAS,Estadual,SEMA - CE,Ativo,Parque,0000.23.1933
ÁREA DE PROTEÇÃO AMBIENTAL DA BICA DO IPÚ,Estadual,SEMA - CE,Ativo,Área de Proteção Ambiental,0000.23.0954
ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE PEIXE/ANGICAL,Estadual,NATURATINS,Ativo,Área de Proteção Ambiental,0000.17.1494
ÁREA DE PROTEÇÃO AMBIENTAL DA LAGOA DA JIJOCA,Estadual,SEMA - CE,Ativo,Área de Proteção Ambiental,0000.23.0962
ÁREA DE PROTEÇÃO AMBIENTAL DO RIO MADEIRA,Estadual,SEDAM,Ativo,Área de Proteção Ambiental,0000.11.2065
RESERVA EXTRATIVISTA RIO PACAÁS NOVOS,Estadual,SEDAM,Ativo,Reserva Extrativista,0000.11.0772
RESERVA EXTRATIVISTA RIO PRETO-JACUNDÁ,Estadual,SEDAM,Ativo,Reserva Extrativista,0000.11.0777
RESERVA EXTRATIVISTA JACI-PARANÁ,Estadual,SEDAM,Ativo,Reserva Extrativista,0000.11.0776
RESERVA EXTRATIVISTA CURRALINHO,Estadual,SEDAM,Ativo,Reserva Extrativista,0000.11.0771
RESERVA EXTRATIVISTA PEDRAS NEGRAS,Estadual,SEDAM,Ativo,Reserva Extrativista,0000.11.0773
RESERVA EXTRATIVISTA RIO CAUTÁRIO,Estadual,SEDAM,Ativo,Reserva Extrativista,0000.11.0775
RESERVA EXTRATIVISTA AQUARIQUARA,Estadual,SEDAM,Ativo,Reserva Extrativista,0000.11.0754
RESERVA EXTRATIVISTA SUCUPIRA,Estadual,SEDAM,Ativo,Reserva Extrativista,0000.11.0752
RESERVA EXTRATIVISTA JATOBÁ,Estadual,SEDAM,Ativo,Reserva Extrativista,0000.11.0750
RESERVA EXTRATIVISTA DO ITAÚBA,Estadual,SEDAM,Ativo,Reserva Extrativista,0000.11.0748
RESERVA EXTRATIVISTA PIQUIÁ,Estadual,SEDAM,Ativo,Reserva Extrativista,0000.11.0746
RESERVA EXTRATIVISTA GARROTE,Estadual,SEDAM,Ativo,Reserva Extrativista,0000.11.0757
RESERVA EXTRATIVISTA SERINGUEIRA,Estadual,SEDAM,Ativo,Reserva Extrativista,0000.11.0756
RESERVA EXTRATIVISTA MARACATIARA,Estadual,SEDAM,Ativo,Reserva Extrativista,0000.11.0744
RESERVA EXTRATIVISTA MASSARANDUBA,Estadual,SEDAM,Ativo,Reserva Extrativista,0000.11.0751
RESERVA EXTRATIVISTA FREIJÓ,Estadual,SEDAM,Ativo,Reserva Extrativista,0000.11.0745
MONUMENTO NATURAL MONÓLITOS DE QUIXADÁ,Estadual,SEMA - CE,Ativo,Monumento Natural,0000.23.0960
RESERVA EXTRATIVISTA CASTANHEIRA,Estadual,SEDAM,Ativo,Reserva Extrativista,0000.11.0753
RESERVA EXTRATIVISTA IPÊ,Estadual,SEDAM,Ativo,Reserva Extrativista,0000.11.0749
RESERVA EXTRATIVISTA ANGELIM,Estadual,SEDAM,Ativo,Reserva Extrativista,0000.11.0743
RESERVA EXTRATIVISTA MOGNO,Estadual,SEDAM,Ativo,Reserva Extrativista,0000.11.0747
RESERVA EXTRATIVISTA ROXINHO,Estadual,SEDAM,Ativo,Reserva Extrativista,0000.11.0755
FLORESTA ESTADUAL DE RENDIMENTO SUSTENTADO RIO VERMELHO (C),Estadual,SEDAM,Ativo,Floresta,0000.11.0739
"FLORESTA ESTADUAL DE RENDIMENTO SUSTENTADO DO RIO MADEIRA ""B""",Estadual,SEDAM,Ativo,Floresta,0000.11.0758
FLORESTA ESTADUAL DE RENDIMENTO SUSTENTADO DO RIO MACHADO,Estadual,SEDAM,Ativo,Floresta,0000.11.0740
FLORESTA ESTADUAL DE RENDIMENTO SUSTENTADO CEDRO,Estadual,SEDAM,Ativo,Floresta,0000.11.0763
FLORESTA ESTADUAL DE RENDIMENTO SUSTENTADO ARARAS,Estadual,SEDAM,Ativo,Floresta,0000.11.2059
FLORESTA ESTADUAL DE RENDIMENTO SUSTENTADO TUCANO,Estadual,SEDAM,Ativo,Floresta,0000.11.0760
PARQUE ESTADUAL DE TERRA RONCA,Estadual,SEMARH,Ativo,Parque,0000.52.1740
ESTAÇÃO ECOLÓGICA MUNICIPAL DO CAETÊ,Municipal,SMMABP,Ativo,Estação Ecológica,0760.35.3854
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BESOURO DE FOGO,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Reserva Particular do Patrimônio Natural,0000.35.4019
FLORESTA ESTADUAL DE RENDIMENTO SUSTENTADO PERIQUITO,Estadual,SEDAM,Ativo,Floresta,0000.11.0778
FLORESTA ESTADUAL DE RENDIMENTO SUSTENTADO MUTUM,Estadual,SEDAM,Ativo,Floresta,0000.11.0759
FLORESTA ESTADUAL DE RENDIMENTO SUSTENTADO GAVIÃO,Estadual,SEDAM,Ativo,Floresta,0000.11.0761
RESERVA BIOLÓGICA TRAÇADAL,Estadual,SEDAM,Ativo,Reserva Biológica,0000.11.0770
RESERVA BIOLÓGICA RIO OURO PRETO,Estadual,SEDAM,Ativo,Reserva Biológica,0000.11.0767
ÁREA DE PROTEÇÃO AMBIENTAL DO PRATAGY,Estadual,IMA,Ativo,Área de Proteção Ambiental,0000.27.0922
REFÚGIO DA VIDA SILVESTRE MATA DO ENGENHO SALGADINHO,Estadual,CPRH,Ativo,Refúgio de Vida Silvestre,0000.26.3328
REFÚGIO DE VIDA SILVESTRE MATA DO CONTRA-AÇUDE,Estadual,CPRH,Ativo,Refúgio de Vida Silvestre,0000.26.2249
REFÚGIO DE VIDA SILVESTRE MATA DE BOM JARDIM,Estadual,CPRH,Ativo,Refúgio de Vida Silvestre,0000.26.2248
REFÚGIO DE VIDA SILVESTRE MATA DE CARAÚNA,Estadual,CPRH,Ativo,Refúgio de Vida Silvestre,0000.26.2255
ESTAÇÃO ECOLÓGICA SAMUEL,Estadual,SEDAM,Ativo,Estação Ecológica,0000.11.0764
ESTAÇÃO ECOLÓGICA SERRA DOS TRÊS IRMÃOS,Estadual,SEDAM,Ativo,Estação Ecológica,0000.11.0768
PARQUE ESTADUAL SERRA DOS REIS,Estadual,SEDAM,Ativo,Parque,0000.11.0774
PARQUE ESTADUAL DE GUAJARÁ-MIRIM,Estadual,SEDAM,Ativo,Parque,0000.11.0765
PARQUE ESTADUAL DAS NASCENTES DO RIO TAQUARI,Estadual,IMASUL,Ativo,Parque,0000.50.0421
MONUMENTO NATURAL DA GRUTA DO LAGO AZUL,Estadual,IMASUL,Ativo,Monumento Natural,0000.50.1515
MONUMENTO NATURAL DO RIO FORMOSO,Estadual,IMASUL,Ativo,Monumento Natural,0000.50.1571
PARQUE ESTADUAL DO PROSA,Estadual,IMASUL,Ativo,Parque,0000.50.0419
ÁREA DE PROTEÇÃO AMBIENTAL RIO CÊNICO ROTAS MONÇOEIRAS,Estadual,IMASUL,Ativo,Área de Proteção Ambiental,0000.50.1578
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA DO CARIMBADO,Estadual,IEF,Ativo,Reserva Particular do Patrimônio Natural,0000.31.4017
ÁREA DE PROTEÇÃO AMBIENTAL MUNICIPAL DA SERRA DO GUARARU,Municipal,SEMAM,Ativo,Área de Proteção Ambiental,1870.35.3977
REFÚGIO DE VIDA SILVESTRE SERRAS CAATINGUEIRAS,Estadual,CPRH,Ativo,Refúgio de Vida Silvestre,0000.26.4016
REFÚGIO DE VIDA SILVESTRE PERIQUITO CARA-SUJA,Estadual,SEMA - CE,Ativo,Refúgio de Vida Silvestre,0000.23.3729
ÁREA DE PROTEÇÃO AMBIENTAL PRATIGI,Estadual,INEMA,Ativo,Área de Proteção Ambiental,0000.29.0319
RESERVA EXTRATIVISTA DO RIO GREGÓRIO,Estadual,SEMA,Ativo,Reserva Extrativista,0000.13.1506
PARQUE NATURAL MUNICIPAL CHICO MENDES,Municipal,SMAC,Ativo,Parque,0455.33.1790
PARQUE NATURAL MUNICIPAL DA SERRA DO MENDANHA,Municipal,SMAC,Ativo,Parque,0455.33.1769
PARQUE ESTADUAL ÁGUAS LINDAS,Estadual,SEMARH,Ativo,Parque,0000.52.3992
PARQUE NATURAL MUNICIPAL LAGOA DO JACARÉ DAS DUNAS DO SANTINHO,Municipal,PMF,Ativo,Parque,0540.42.3430
MONUMENTO NATURAL MUNICIPAL DA GALHETA,Municipal,PMF,Ativo,Monumento Natural,0540.42.3159
ESTAÇÃO ECOLÓGICA DE MOGI-GUAÇU,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Estação Ecológica,0000.35.2617
"ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE SÃO SALVADOR DO TOCANTINS, PARANÃ E PALMEIRÓPOLIS",Estadual,NATURATINS,Ativo,Área de Proteção Ambiental,0000.17.1492
PARQUE NACIONAL DO PANTANAL MATOGROSSENSE,Federal,ICMBio,Ativo,Parque,0000.00.0175
ÁREA DE PROTEÇÃO AMBIENTAL DO FANHA,Municipal,FMMA,Ativo,Área de Proteção Ambiental,0055.52.3961
PARQUE NATURAL MUNICIPAL DA CACHOEIRA DE SANTO ANTÔNIO,Municipal,PM_Congonhas/MG,Ativo,Parque,1800.31.2869
MONUMENTO NATURAL ATALAIA,Estadual,IDEFLOR-BIO,Ativo,Monumento Natural,0000.15.3828
PARQUE NATURAL MUNICIPAL DA RESTINGA DE PRAIA DO FORTE,Municipal,PMSJ,Ativo,Parque,2100.29.3581
ÁREA DE PROTEÇÃO AMBIENTAL DO SACO DE COROA GRANDE,Municipal,SEMA,Ativo,Área de Proteção Ambiental,0200.33.3984
ÁREA DE PROTEÇÃO AMBIENTAL ITAGUAÍ ITINGUSSÚ ESPIGÃO TAQUARA,Municipal,SEMA,Ativo,Área de Proteção Ambiental,0200.33.3981
ÁREA DE PROTEÇÃO AMBIENTAL PAYTUNA,Estadual,IDEFLOR-BIO,Ativo,Área de Proteção Ambiental,0000.15.1028
FLORESTA ESTADUAL DO TROMBETAS,Estadual,IDEFLOR-BIO,Ativo,Floresta,0000.15.1037
ÁREA DE PROTEÇÃO AMBIENTAL DA ILHA DO COMBU,Estadual,IDEFLOR-BIO,Ativo,Área de Proteção Ambiental,0000.15.1027
ÁREA DE PROTEÇÃO AMBIENTAL DO ARQUIPÉLAGO DO MARAJÓ,Estadual,IDEFLOR-BIO,Ativo,Área de Proteção Ambiental,0000.15.1023
FLORESTA ESTADUAL DO PARU,Estadual,IDEFLOR-BIO,Ativo,Floresta,0000.15.1038
FLORESTA ESTADUAL DE FARO,Estadual,IDEFLOR-BIO,Ativo,Floresta,0000.15.1035
REFÚGIO DE VIDA SILVESTRE TABULEIRO DO EMBAUBAL,Estadual,IDEFLOR-BIO,Ativo,Refúgio de Vida Silvestre,0000.15.3478
REFÚGIO DE VIDA SILVESTRE PADRE SÉRGIO TONETTO,Estadual,IDEFLOR-BIO,Ativo,Refúgio de Vida Silvestre,0000.15.3479
REFÚGIO DE VIDA SILVESTRE METRÓPOLE DA AMAZÔNIA,Estadual,IDEFLOR-BIO,Ativo,Refúgio de Vida Silvestre,0000.15.1881
PARQUE ESTADUAL DO UTINGA,Estadual,IDEFLOR-BIO,Ativo,Parque,0000.15.1022
PARQUE ESTADUAL DA SERRA DOS MARTÍRIOS/ANDORINHAS,Estadual,IDEFLOR-BIO,Ativo,Parque,0000.15.1021
RESERVA BIOLÓGICA DE MAICURU,Estadual,IDEFLOR-BIO,Ativo,Reserva Biológica,0000.15.1033
ESTAÇÃO ECOLÓGICA DO GRÃO PARÁ,Estadual,IDEFLOR-BIO,Ativo,Estação Ecológica,0000.15.1034
FLORESTA ESTADUAL DE IRIRI,Estadual,IDEFLOR-BIO,Ativo,Floresta,0000.15.1036
PARQUE NACIONAL PAU BRASIL,Federal,ICMBio,Ativo,Parque,0000.00.0176
RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL VITÓRIA DE SOUZEL,Estadual,IDEFLOR-BIO,Ativo,Reserva de Desenvolvimento Sustentável,0000.15.3480
ÁREA DE PROTEÇÃO AMBIENTAL DA REGIÃO METROLPOLITANA DE BELÉM,Estadual,IDEFLOR-BIO,Ativo,Área de Proteção Ambiental,0000.15.1025
PARQUE ESTADUAL CHARAPUCU,Estadual,IDEFLOR-BIO,Ativo,Parque,0000.15.2042
ESTAÇÃO ECOLÓGICA DE SANTA BÁRBARA,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Estação Ecológica,0000.35.2699
ARIE ZONA DE VIDA SILVESTRE DA APA DA ILHA COMPRIDA,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Área de Relevante Interesse Ecológico,0000.35.2843
APA ILHA COMPRIDA,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Área de Proteção Ambiental,0000.35.1702
ESTAÇÃO ECOLÓGICA CHAÚAS,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Estação Ecológica,0000.35.0817
PARQUE NATURAL MUNICIPAL DO POXIM,Municipal,SMMA-SE,Ativo,Parque,0030.28.3459
ESTAÇÃO ECOLÓGICA MONTE DAS FLORES,Municipal,SMMA,Ativo,Estação Ecológica,0515.33.3979
PARQUE NATURAL MUNICIPAL CORREDORES DE BIODIVERSIDADE,Municipal,SEMA,Ativo,Parque,5220.35.2750
ESTAÇÃO ECOLÓGICA MUNICIPAL DO PIRAJIBU,Municipal,SEMA,Ativo,Estação Ecológica,5220.35.3249
ESTAÇÃO ECOLÓGICA GOVERNADOR MARIO COVAS,Municipal,SEMA,Ativo,Estação Ecológica,5220.35.3250
ESTAÇÃO ECOLÓGICA BRÁULIO GUEDES DA SILVA,Municipal,SEMA,Ativo,Estação Ecológica,5220.35.3474
PARQUE NATURAL MUNICIPAL DE BRIGADEIRO TOBIAS,Municipal,SEMA,Ativo,Parque,5220.35.3164
PARQUE NATURAL MUNICIPAL COLONIZADOR JOSE BIANCHINI,Municipal,PMM,Ativo,Parque,0558.51.3701
ESTAÇÃO ECOLÓGICA DE ITIRAPINA,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Estação Ecológica,0000.35.2701
ESTAÇÃO ECOLÓGICA DE MARÍLIA,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Estação Ecológica,0000.35.2605
FLORESTA ESTADUAL DE ASSIS,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Floresta,0000.35.2937
PARQUE NATURAL MUNICIPAL DO CUIÁ - PARQUE CUIÁ,Municipal, ,Ativo,Parque,0750.25.3853
PARQUE NATURAL MUNICIPAL DA RESTINGA DO BARRETO,Municipal,SEMA,Ativo,Parque,0240.33.3553
ÁREA DE PROTEÇÃO AMBIENTAL DO ESTUÁRIO DO RIO CURU,Estadual,SEMA - CE,Ativo,Área de Proteção Ambiental,0000.23.0955
APA CAJATI,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Área de Proteção Ambiental,0000.35.1697
ÁREA DE PROTEÇÃO AMBIENTAL LAGOA GRANDE,Municipal,PMAN,Ativo,Área de Proteção Ambiental,0080.52.3927
PARQUE NATURAL MUNICIPAL DA MATA ATLÂNTICA,Municipal,SEMMAR,Ativo,Parque,0010.33.3859
APA RIO PARDINHO E RIO VERMELHO,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Área de Proteção Ambiental,0000.35.1713
APA PLANALTO DO TURVO,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Área de Proteção Ambiental,0000.35.1709
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTADUAL RESERVA AMBIENTAL S. SANTOS,Estadual,IMA,Ativo,Reserva Particular do Patrimônio Natural,0000.42.3959
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTADUAL JOÃO HEYSE SOBRINHO,Estadual,IMA,Ativo,Reserva Particular do Patrimônio Natural,0000.42.3951
PARQUE ESTADUAL CARLOS BOTELHO,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Parque,0000.35.0810
RDS LAVRAS,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Reserva de Desenvolvimento Sustentável,0000.35.1690
RDS DOS PINHEIRINHOS,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Reserva de Desenvolvimento Sustentável,0000.35.1691
ESTAÇÃO ECOLÓGICA ITABERÁ,Estadual,FUNDAÇÃO FLORESTAL,Ativo,Estação Ecológica,0000.35.0821
ÁREA DE PROTEÇÃO AMBIENTAL ILHA DO BANANAL/CANTÃO,Estadual,NATURATINS,Ativo,Área de Proteção Ambiental,0000.17.1501
ÁREA DE PROTEÇÃO AMBIENTAL DE MASSAMBABA,Estadual,INEA,Ativo,Área de Proteção Ambiental,0000.33.1514
ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE SAPIATIBA,Estadual,INEA,Ativo,Área de Proteção Ambiental,0000.33.0727
ÁREA DE PROTEÇÃO AMBIENTAL DO PAU BRASIL,Estadual,INEA,Ativo,Área de Proteção Ambiental,0000.33.0724
PARQUE ESTADUAL DA COSTA DO SOL,Estadual,INEA,Ativo,Parque,0000.33.2732
PARQUE ESTADUAL DO LAJEADO,Estadual,NATURATINS,Ativo,Parque,0000.17.1488
ÁREA DE PROTEÇÃO AMBIENTAL CARAÍVA/ TRANCOSO,Estadual,INEMA,Ativo,Área de Proteção Ambiental,0000.29.0310
ÁREA DE PROTEÇÃO AMBIENTAL DAS LAGUNAS E FLORESTAS DE NITERÓI,Municipal,SMARHS,Ativo,Área de Proteção Ambiental,0330.33.3969
R ÁREA DE PROTEÇÃO AMBIENTAL  DA FORTALEZA DE SANTA CRUZ E DOS FORTES DO PICO E DO RIO BRANCO,Municipal,SMARHS,Ativo,Área de Proteção Ambiental,0330.33.3965
REFUGIO DA VIDA SILVESTRE DE COLÍDER,Municipal,SMAPAMICERCT,Ativo,Refúgio de Vida Silvestre,0320.51.3702
ÁREA DE PROTEÇÃO AMBIENTAL DO ENTORNO COSTEIRO,Estadual,IMA,Ativo,Área de Proteção Ambiental,0000.42.3963
ÁREA DE PROTEÇÃO AMBIENTAL DA VARGEM DO BRAÇO,Estadual,IMA,Ativo,Área de Proteção Ambiental,0000.42.3962
PARQUE NATURAL MUNICIPAL DE SÃO ROQUE,Municipal,PSR,Ativo,Parque,5060.35.3845
ÁREA DE PROTEÇÃO AMBIENTAL DE PALMARES - APA PALMARES,Municipal,PMPA,Ativo,Área de Proteção Ambiental,0385.33.3690
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ILAN,Estadual,INEA,Ativo,Reserva Particular do Patrimônio Natural,0000.33.3903
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTADUAL COMPLEXO SERRA DA FAROFA,Estadual,IMA,Ativo,Reserva Particular do Patrimônio Natural,0000.42.3960
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTADUAL JARDIM DAS COLINAS,Estadual,IMA,Ativo,Reserva Particular do Patrimônio Natural,0000.42.3958
ÁREA DE PROTEÇÃO AMBIENTAL DAS DUNAS DO LITORAL OESTE,Estadual,SEMA - CE,Ativo,Área de Proteção Ambiental,0000.23.0950
RESERVA BIOLÓGICA DA MATA ESCURA,Federal,ICMBio,Ativo,Reserva Biológica,0000.00.0193
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTADUAL PROF. YARA C. NICOLETTI,Estadual,IMA,Ativo,Reserva Particular do Patrimônio Natural,0000.42.3957
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTADUAL RIO BONITO,Estadual,IMA,Ativo,Reserva Particular do Patrimônio Natural,0000.42.3956
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTADUAL RIO DOS PARDOS,Estadual,IMA,Ativo,Reserva Particular do Patrimônio Natural,0000.42.3955
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTADUAL PARQUE DAS ARAUCÁRIAS,Estadual,IMA,Ativo,Reserva Particular do Patrimônio Natural,0000.42.3954
ÀREA DE PROTEÇÃO AMBIENTAL DE TINGUÁ,Municipal,SEMAM,Ativo,Área de Proteção Ambiental,0350.33.1879
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTADUAL AROEIRA VERMELHA,Estadual,IMA,Ativo,Reserva Particular do Patrimônio Natural,0000.42.3953
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTADUAL MORRO DO MOREIRA,Estadual,IMA,Ativo,Reserva Particular do Patrimônio Natural,0000.42.3950
PARQUE NACIONAL DA SERRA DO GANDARELA,Federal,ICMBio,Ativo,Parque,0000.00.3136
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DO BOM FIM,Estadual,IEF,Ativo,Reserva Particular do Patrimônio Natural,0000.31.2399
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DA MATA,Estadual,IEF,Ativo,Reserva Particular do Patrimônio Natural,0000.31.2394
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÃO PEDRO,Estadual,SEMA - CE,Ativo,Reserva Particular do Patrimônio Natural,0000.23.3947
PARQUE NACIONAL DO CATIMBAU,Federal,ICMBio,Ativo,Parque,0000.00.0170
