Nome da UC,Esfera Administrativa,Sigla Orgão Gestor,Situação,Categorias de Manejo,Código CNUC
ÁREA DE PROTEÇÃO AMBIENTAL DO LAGO PARANOÁ,Estadual,IBRAM,Ativo,Área de Proteção Ambiental,0000.53.1636
ÁREA DE PROTEÇÃO AMBIENTAL CORREDEIRAS,Municipal,SMA-Taparuba-MG,Ativo,Área de Proteção Ambiental,6805.31.4231
ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA ARNICA,Municipal,SMMA-Varjão-GO,Ativo,Área de Proteção Ambiental,2190.52.4287
ÁREA DE PROTEÇÃO AMBIENTAL MUNICIPAL DO CÓRREGO LUCAS,Municipal,SAMA,Ativo,Área de Proteção Ambiental,0525.51.4307
ÁREA DE PROTEÇÃO AMBIENTAL NAUFRÁGIO QUEIMADO,Estadual,SUDEMA,Ativo,Área de Proteção Ambiental,0000.25.3846
ÁREA  DE PROTEÇÃO AMBIENTAL JARÁ,Municipal,PMJ,Ativo,Área de Proteção Ambiental,3903.15.4456
ÁREA DE PROTEÇÃO AMBIENTAL DA SUB-BACIA DO RIO IVINHEMA,Municipal,PMNHS,Ativo,Área de Proteção Ambiental,6259.50.4458
ÁREA DE PROTEÇÃO AMBIENTAL DO CARMO,Municipal,FMMA,Ativo,Área de Proteção Ambiental,0253.16.4562
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CANTO DA ARAPONGA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.3100
ÁREA DE PROTEÇÃO AMBIENTAL NASCENTES DA ZONA RURAL,Municipal,PMO,Ativo,Área de Proteção Ambiental,9600.26.4569
ÁREA DE PROTEÇÃO AMBIENTAL TUNICO FARIAS,Municipal,PMSDP,Ativo,Área de Proteção Ambiental,1007.31.4450
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL OÁSIS ARARIPE II,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4460
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LAVRINHAS,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4461
PARQUE NATURAL MUNICIPAL FLORESTA DO BALDEADOR,Municipal,SMARHS,Ativo,Parque,0330.33.4348
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA RIO VERMELHO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1328
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BELLATRIX,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4465
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA NATURAL FRANCISCO BRAZ DE OLIVEIRA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.3081
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CAMPOS ÚMIDOS VOCHYSIAS,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4467
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA DA CULTURA PERMANENTE,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2653
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FLOR DAS ÁGUAS DO CERRADO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4477
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTADUAL ITUTUPÃ,Estadual,IMA,Ativo,Reserva Particular do Patrimônio Natural,0000.42.4579
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTADUAL DONA AUGUSTA,Estadual,IMA,Ativo,Reserva Particular do Patrimônio Natural,0000.42.4578
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA CHAPADÕES,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4479
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL NASCENTES DO RIO TOCANTINS,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.3105
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MIMOSA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4480
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA RIO DAS FURNAS II,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.3099
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA MATO GROSSO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.3666
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA DA BORBOLETA AZUL,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4483
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BELLATRIX 3,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4484
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA BONITA V,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4486
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL NASCENTES DO RIO  ARAGUAIA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2668
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2101
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MORRO DO SEGREDO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4488
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BICO DO JAVAÉS,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2744
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MURUNDU,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4493
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA DA IMBUIA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4494
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BELLATRIX 2,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4495
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ARIVAL ANTÔNIO ZARDO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4496
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BIORREGIONAL,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4498
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA JAGUATIRICA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4499
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA BONITA IX,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4500
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PONTÕES BERGEZEL,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4501
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA BONITA III,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4502
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO DO CANTONEIRO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1046
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LAFIGUEIRA - NATURARTE,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.3671
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CANTO DO OBRIENI,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4505
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BACUPARI,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4507
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO ALMAS,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4508
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA BELÉM,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4510
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ALMIRANTE RENATO DE MIRANDA MONTEIRO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2664
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA HEINZ BAHR,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4515
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TERRA DO SEGREDO,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4545
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SOLAR DAS BORBOLETAS,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4521
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA BONITA IV,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.4523
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA MORRINHOS,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1398
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PASSARIM II,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.2716
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA BOA VISTA,Federal,ICMBio,Ativo,Reserva Particular do Patrimônio Natural,0000.00.1392
